Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
66bcac87edbf06db1ddba411,593948eefce4070001d33336,APPROVED,Not Applicable,2024-08-14T13:09:32.573000Z,2024-08-14T13:41:37.266000Z,2024-08-15T08:17:06.526000Z,2024-08-14T13:41:37.760018Z,1925,CLMUZNH2,753,35,Female,White,United States,United States,United States,English,No,Full-Time
66bcacf104ecb22a0f228fc0,658fbb9f64bcbcfb43e3d925,APPROVED,Not Applicable,2024-08-14T13:11:23.619000Z,2024-08-14T13:45:12.162000Z,2024-08-15T08:17:06.811000Z,2024-08-14T13:47:36.715705Z,2029,CLMUZNH2,437,40,Female,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
66bcad2c649e8d358de45755,60f1faa39def9e1f15734734,APPROVED,Not Applicable,2024-08-14T13:12:16.483000Z,2024-08-14T13:43:49.823000Z,2024-08-15T08:17:51.779000Z,2024-08-14T13:43:50.891037Z,1894,CLMUZNH2,778,24,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking)
66bcad6b3cf1916387334206,655b69652f36b1478b77b436,APPROVED,Not Applicable,2024-08-14T13:13:20.104000Z,2024-08-14T13:42:31.960000Z,2024-08-15T08:17:07.082000Z,2024-08-14T13:42:33.096094Z,1752,CLMUZNH2,337,28,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
66bcaddd8a6648d79354375a,66aaa3caedaa06d13fd41a28,APPROVED,Not Applicable,2024-08-14T13:15:25.103000Z,2024-08-14T13:55:44.667000Z,2024-08-15T08:17:07.400000Z,2024-08-14T13:57:03.343140Z,2420,CLMUZNH2,23,27,Female,Black,United States,United States,United States,English,No,DATA_EXPIRED
66bcadfaf5cb31745d1b2f2e,66439f16517fee154d7c9612,APPROVED,Not Applicable,2024-08-14T13:15:47.053000Z,2024-08-14T13:46:45.493000Z,2024-08-15T08:17:52.059000Z,2024-08-14T13:48:38.460102Z,1859,CLMUZNH2,260,36,Male,Other,United States,United States,United States,English,No,Full-Time
66bcae6e8a6648d79354376f,66ab60ffb3bab026a1be4863,APPROVED,Not Applicable,2024-08-14T13:17:45.537000Z,2024-08-14T13:58:36.761000Z,2024-08-15T08:17:07.666000Z,2024-08-14T13:58:37.392146Z,2452,CLMUZNH2,65,38,Female,Black,United States,United States,United States,English,No,Full-Time
66bcaec71ff4080d61c6c663,5ee6be54321536000905346a,APPROVED,Not Applicable,2024-08-14T13:19:18.674000Z,2024-08-14T13:51:18.476000Z,2024-08-15T08:17:07.939000Z,2024-08-14T13:51:19.191385Z,1920,CLMUZNH2,2387,33,Female,Mixed,United States,United States,United States,English,No,Part-Time
66bcaed68b4c637ef5cc7134,667ac2458f480b3288551d2f,APPROVED,Not Applicable,2024-08-14T13:19:22.485000Z,2024-08-14T13:55:02.380000Z,2024-08-15T08:17:08.205000Z,2024-08-14T13:55:28.673964Z,2140,CLMUZNH2,48,40,Female,White,United States,United States,United States,English,No,DATA_EXPIRED
66bcaf227d896af257977e87,5ce36fd645ff250001244987,APPROVED,Not Applicable,2024-08-14T13:20:57.362000Z,2024-08-14T13:51:17.054000Z,2024-08-15T08:17:52.466000Z,2024-08-14T13:51:17.705638Z,1820,CLMUZNH2,1218,27,Male,White,United States,United States,United States,English,Yes,Full-Time
66bcaf39f8815570c914407e,60257702487c590d441d8c67,APPROVED,Not Applicable,2024-08-14T13:23:16.346000Z,2024-08-14T13:53:58.195000Z,2024-08-15T08:17:08.474000Z,2024-08-14T13:53:58.915681Z,1842,CLMUZNH2,554,32,Female,White,United States,United States,United States,English,Yes,DATA_EXPIRED
